condition,cadence,gait_cycle_duration,gait_speed,step_duration,stride_length,trial_number,feedback,delay,amplitude,pink_noise,side,participant,condition_order,condition_labels,pretest_cadence,pretest_gait_cycle_duration,pretest_gait_speed,pretest_step_duration,pretest_stride_length,cadence_delta,gait_cycle_duration_delta,gait_speed_delta,step_duration_delta,stride_length_delta,cadence_delta_no_trend,gait_speed_delta_no_trend,slength_delta_no_trend,cv_cadence,cv_gait_cycle_duration,cv_gait_speed,cv_step_duration,cv_stride_length,pretest_cv_cadence,pretest_cv_gait_cycle_duration,pretest_cv_gait_speed,pretest_cv_step_duration,pretest_cv_stride_length,cv_cadence_delta,cv_gait_cycle_duration_delta,cv_gait_speed_delta,cv_step_duration_delta,cv_stride_length_delta,cv_cadence_delta_no_trend
D,117.8607746,1.01828125,1.300376425,0.50890625,1.322341002,1,1,2,2,0,total,8,5,"Delay High, Amplitude High",115.3837993,1.040294509,1.235238139,0.520168802,1.28328791,2.14672711,-2.116060258,5.273338338,-2.165172591,3.043205792,-0.063357341,-0.458357143,-0.297496212,0.015835417,0.016029328,0.030745263,0.01774176,0.017887563,0.012740434,0.01280658,0.024113831,0.01621063,0.015857076,24.29259934,25.16477922,27.50053102,9.445224305,12.80492696,24.82241872
D,118.2659912,1.014720395,1.308233055,0.507195724,1.326448519,2,1,2,2,0,total,8,5,"Delay High, Amplitude High",115.3837993,1.040294509,1.235238139,0.520168802,1.28328791,2.497917314,-2.458353231,5.909380066,-2.49401315,3.36328338,0.287832863,0.177684585,0.022581377,0.012844026,0.012856191,0.024233611,0.017070332,0.01468309,0.012740434,0.01280658,0.024113831,0.01621063,0.015857076,0.813093682,0.387384184,0.496725987,5.303324738,-7.40354653,1.342913062
D,118.1437241,1.015840517,1.280794177,0.508324353,1.300134625,3,1,2,2,0,total,8,5,"Delay High, Amplitude High",115.3837993,1.040294509,1.235238139,0.520168802,1.28328791,2.391951744,-2.350679684,3.688036898,-2.277039546,1.312777504,0.181867293,-2.043658583,-2.027924499,0.00954186,0.009534222,0.01736262,0.013819797,0.015000575,0.012740434,0.01280658,0.024113831,0.01621063,0.015857076,-25.10569302,-25.5521634,-27.99725701,-14.74854904,-5.401380431,-24.57587364
D,107.8214974,1.113141741,1.148815931,0.55703125,1.275906125,1,1,2,2,0,total,9,5,"Delay High, Amplitude High",109.3215996,1.097980424,1.172952889,0.549011614,1.285722537,-1.37219193,1.380836732,-2.057794326,1.460740683,-0.763493837,-3.582276381,-7.789489807,-4.10419584,0.01870183,0.019354881,0.036297618,0.021157858,0.020163249,0.015256554,0.015498972,0.030940391,0.017757915,0.018564913,22.58226858,24.87848495,17.3146713,19.14607092,8.60944319,23.11208796
D,106.3990839,1.128071121,1.119889881,0.563820043,1.261214602,2,1,2,2,0,total,9,5,"Delay High, Amplitude High",109.3215996,1.097980424,1.172952889,0.549011614,1.285722537,-2.673319525,2.740549498,-4.523882289,2.697288841,-1.906160515,-4.883403977,-10.25557777,-5.246862518,0.013671817,0.013617684,0.025415905,0.015683066,0.014828065,0.015256554,0.015498972,0.030940391,0.017757915,0.018564913,-10.3872539,-12.13814508,-17.85525593,-11.68408003,-20.12855253,-9.857434518
D,107.3110049,1.118489583,1.132994886,0.5590625,1.26484773,3,1,2,2,0,total,9,5,"Delay High, Amplitude High",109.3215996,1.097980424,1.172952889,0.549011614,1.285722537,-1.839155917,1.867898421,-3.406616188,1.830723749,-1.623585706,-4.049240368,-9.13831167,-4.964287709,0.013396015,0.01352435,0.03110765,0.016432821,0.020703426,0.015256554,0.015498972,0.030940391,0.017757915,0.018564913,-12.19501468,-12.74033987,0.540584636,-7.461990893,11.51910934,-11.6651953
D,116.2531887,1.03234375,1.21117578,0.5161875,1.248932015,1,1,2,2,0,total,10,7,"Delay High, Amplitude High",111.9103915,1.07273341,1.110887296,0.536894772,1.188757611,3.880602307,-3.765116286,9.027782026,-3.856858625,5.061957441,0.967365647,1.394598121,0.594535589,0.014009644,0.014258299,0.042168313,0.018729368,0.032042547,0.018939138,0.01920312,0.045847303,0.022666283,0.031500953,-26.02808005,-25.75009036,-8.024440813,-17.36903664,1.719294016,-25.49826067
D,114.3330009,1.05003125,1.168066732,0.5245,1.223651307,2,1,2,2,0,total,10,7,"Delay High, Amplitude High",111.9103915,1.07273341,1.110887296,0.536894772,1.188757611,2.164776123,-2.116290974,5.147186025,-2.308603654,2.935307923,-0.748460538,-2.48599788,-1.532113929,0.018100125,0.018261524,0.036260828,0.020818377,0.02129523,0.018939138,0.01920312,0.045847303,0.022666283,0.031500953,-4.430048506,-4.903347388,-20.90957179,-8.152664466,-32.39814046,-3.900229126
D,116.1672273,1.033238636,1.210721474,0.516299716,1.249076514,3,1,2,2,0,total,10,7,"Delay High, Amplitude High",111.9103915,1.07273341,1.110887296,0.536894772,1.188757611,3.803789601,-3.681695187,8.986886248,-3.835957695,5.074112905,0.890552941,1.353702343,0.606691052,0.024707645,0.025089536,0.059112767,0.028451104,0.041165082,0.018939138,0.01920312,0.045847303,0.022666283,0.031500953,30.45812856,30.65343775,28.93401261,25.52170111,30.67884645,30.98794794
D,114.1643381,1.051289063,1.412447175,0.525273438,1.482012141,1,1,2,2,0,total,11,2,"Delay High, Amplitude High",111.0859487,1.080468236,1.360699066,0.54022717,1.467115403,2.771178026,-2.700604396,3.803053173,-2.768045154,1.015376021,1.615821888,0.923590327,-0.635246208,0.01557463,0.01593089,0.041163365,0.019615717,0.030795728,0.012959757,0.013131931,0.030692972,0.017126575,0.021967665,20.17686751,21.31414641,34.1133226,14.53379685,40.18662217,20.70668689
